Fighter;Result;Opponent;Method;Date;Fight Number
Jared Rosholt;def.;Josh Copeland;TKO;March 14, 2015;4
Ryan Benoit;def.;Sergio Pettis;TKO;March 14, 2015;3
Joseph Duffy;def.;Jake Lindsey;TKO;March 14, 2015;2
Germaine de Randamie;def.;Larissa Pacheco;TKO;March 14, 2015;1
Ronda Rousey;def.;Cat Zingano;Submission;February 28, 2015;11
Holly Holm;def.;Raquel Pennington;Decision;February 28, 2015;10
Jake Ellenberger;def.;Josh Koscheck;Submission;February 28, 2015;9
Alan Jouban;def.;Richard Walsh;KO;February 28, 2015;8
Tony Ferguson;def.;Gleison Tibau;Submission;February 28, 2015;7
Roan Carneiro;def.;Mark Muñoz;Technical Submission;February 28, 2015;6
Roman Salazar;vs.;Norifumi Yamamoto;No Contest;February 28, 2015;5
Tim Means;def.;Dhiego Lima;TKO;February 28, 2015;4
Derrick Lewis;def.;Ruan Potts;TKO;February 28, 2015;3
Valmir Lázaro;def.;James Krause;Decision;February 28, 2015;2
Masio Fullen;def.;Alex Torres;Decision;February 28, 2015;1
Frank Mir;def.;Antônio Silva;KO;February 22, 2015;11
Michael Johnson;def.;Edson Barboza;Decision;February 22, 2015;10
Sam Alvey;def.;Cezar Ferreira;KO;February 22, 2015;9
Adriano Martins;def.;Rustam Khabilov;Decision;February 22, 2015;8
Frankie Saenz;def.;Iuri Alcântara;Decision;February 22, 2015;7
Santiago Ponzinibbio;def.;Sean Strickland;Decision;February 22, 2015;6
Marion Reneau;def.;Jéssica Andrade;Submission;February 22, 2015;5
Matt Dwyer;def.;William Macário;KO;February 22, 2015;4
Mike De La Torre;def.;Tiago Trator;KO;February 22, 2015;3
Douglas Silva de Andrade;def.;Cody Gibson;Decision;February 22, 2015;2
Ivan Jorge;def.;Josh Shockley;Decision;February 22, 2015;1
Benson Henderson;def.;Brandon Thatch;Submission;February 14, 2015;10
Max Holloway;def.;Cole Miller;Decision;February 14, 2015;9
Neil Magny;def.;Kiichi Kunimoto;Submission;February 14, 2015;8
Dan Kelly;def.;Patrick Walsh;Decision;February 14, 2015;7
Kevin Lee;def.;Michel Prazeres;Decision;February 14, 2015;6
Ray Borg;def.;Chris Kelades;Submission;February 14, 2015;5
Efrain Escudero;def.;Rodrigo de Lima;Decision;February 14, 2015;4
Chas Skelly;def.;Jim Alers;TKO;February 14, 2015;3
Zach Makovsky;def.;Tim Elliott;Decision;February 14, 2015;2
James Moontasri;def.;Cody Pfister;Submission;February 14, 2015;1
Anderson Silva;vs.;Nick Diaz;No Contest;January 31, 2015;11
Tyron Woodley;def.;Kelvin Gastelum;Decision;January 31, 2015;10
Al Iaquinta;def.;Joe Lauzon;TKO;January 31, 2015;9
Thales Leites;def.;Tim Boetsch;Technical Submission;January 31, 2015;8
Thiago Alves;def.;Jordan Mein;TKO;January 31, 2015;7
Miesha Tate;def.;Sara McMann;Decision;January 31, 2015;6
Derek Brunson;def.;Ed Herman;TKO;January 31, 2015;5
John Lineker;def.;Ian McCall;Decision;January 31, 2015;4
Rafael Natal;def.;Tom Watson;Decision;January 31, 2015;3
Ildemar Alcântara;def.;Richardson Moreira;Decision;January 31, 2015;2
Thiago Santos;def.;Andy Enz;TKO;January 31, 2015;1
Anthony Johnson;def.;Alexander Gustafsson;TKO;January 24, 2015;12
Gegard Mousasi;def.;Dan Henderson;TKO;January 24, 2015;11
Ryan Bader;def.;Phil Davis;Decision;January 24, 2015;10
Sam Sicilia;def.;Akira Corassani;KO;January 24, 2015;9
Albert Tumenov;def.;Nico Musoke;Decision;January 24, 2015;8
Kenny Robertson;def.;Sultan Aliev;TKO;January 24, 2015;7
Makwan Amirkhani;def.;Andy Ogle;TKO;January 24, 2015;6
Nikita Krylov;def.;Stanislav Nedkov;Submission;January 24, 2015;5
Mairbek Taisumov;def.;Anthony Christodoulou;KO;January 24, 2015;4
Mirsad Bektić;def.;Paul Redmond;Decision;January 24, 2015;3
Viktor Pešta;def.;Konstantin Erokhin;Decision;January 24, 2015;2
Neil Seery;def.;Chris Beal;Decision;January 24, 2015;1
Conor McGregor;def.;Dennis Siver;TKO;January 18, 2015;12
Donald Cerrone;def.;Benson Henderson;Decision;January 18, 2015;11
Uriah Hall;def.;Ron Stallings;TKO;January 18, 2015;10
Gleison Tibau;def.;Norman Parke;Decision;January 18, 2015;9
Cathal Pendred;def.;Sean Spencer;Decision;January 18, 2015;8
Lorenz Larkin;def.;John Howard;TKO;January 18, 2015;7
Chris Wade;def.;Zhang Lipeng;Decision;January 18, 2015;6
Paddy Holohan;def.;Shane Howell;Decision;January 18, 2015;5
Johnny Case;def.;Frankie Perez;TKO;January 18, 2015;4
Charles Rosa;def.;Sean Soriano;Submission;January 18, 2015;3
Sean O'Connell;def.;Matt Van Buren;TKO;January 18, 2015;2
Joby Sanchez;def.;Tateki Matsuda;Decision;January 18, 2015;1
Jon Jones;def.;Daniel Cormier;Decision;January 3, 2015;11
Donald Cerrone;def.;Myles Jury;Decision;January 3, 2015;10
Brad Tavares;def.;Nate Marquardt;Decision;January 3, 2015;9
Kyoji Horiguchi;def.;Louis Gaudinot;Decision;January 3, 2015;8
Hector Lombard;vs.;Josh Burkman;No Contest;January 3, 2015;7
Paul Felder;def.;Danny Castillo;KO;January 3, 2015;6
Cody Garbrandt;def.;Marcus Brimage;TKO;January 3, 2015;5
Shawn Jordan;def.;Jared Cannonier;KO;January 3, 2015;4
Evan Dunham;def.;Rodrigo Damm;Decision;January 3, 2015;3
Omari Akhmedov;def.;Mats Nilsson;Decision;January 3, 2015;2
Marion Reneau;def.;Alexis Dufresne;Decision;January 3, 2015;1
Lyoto Machida;def.;C.B. Dollaway;TKO;December 20, 2014;12
Renan Barão;def.;Mitch Gagnon;Submission;December 20, 2014;11
Patrick Cummins;def.;Antônio Carlos Júnior;Decision;December 20, 2014;10
Rashid Magomedov;def.;Elias Silvério;TKO;December 20, 2014;9
Erick Silva;def.;Mike Rhodes;Technical Submission;December 20, 2014;8
Daniel Sarafian;def.;Antônio dos Santos Jr.;TKO;December 20, 2014;7
Marcos Rogério de Lima;def.;Igor Pokrajac;TKO;December 20, 2014;6
Renato Moicano;def.;Tom Niinimäki;Submission;December 20, 2014;5
Hacran Dias;def.;Darren Elkins;Decision;December 20, 2014;4
Leandro Issa;def.;Yuta Sasaki;Submission;December 20, 2014;3
Tim Means;def.;Márcio Alexandre Jr.;Decision;December 20, 2014;2
Vitor Miranda;def.;Jake Collier;TKO;December 20, 2014;1
Junior dos Santos;def.;Stipe Miocic;Decision;December 13, 2014;12
Rafael dos Anjos;def.;Nate Diaz;Decision;December 13, 2014;11
Alistair Overeem;def.;Stefan Struve;KO;December 13, 2014;10
Matt Mitrione;def.;Gabriel Gonzaga;TKO;December 13, 2014;9
Joanna Jędrzejczyk;def.;Cláudia Gadelha;Decision;December 13, 2014;8
John Moraga;def.;Willie Gates;Submission;December 13, 2014;7
Ben Saunders;def.;Joe Riggs;TKO;December 13, 2014;6
Drew Dober;def.;Jamie Varner;Submission;December 13, 2014;5
Bryan Barberena;def.;Joe Ellenberger;TKO;December 13, 2014;4
David Michaud;def.;Garett Whiteley;Decision;December 13, 2014;3
Henry Cejudo;def.;Dustin Kimura;Decision;December 13, 2014;2
Ian Entwistle;def.;Anthony Birchak;Submission;December 13, 2014;1
Robbie Lawler;def.;Johny Hendricks;Decision;December 6, 2014;11
Anthony Pettis;def.;Gilbert Melendez;Submission;December 6, 2014;10
Travis Browne;def.;Brendan Schaub;TKO;December 6, 2014;9
Todd Duffee;def.;Anthony Hamilton;KO;December 6, 2014;8
Tony Ferguson;def.;Abel Trujillo;Submission;December 6, 2014;7
Urijah Faber;def.;Francisco Rivera;Submission;December 6, 2014;6
Josh Samman;def.;Eddie Gordon;KO;December 6, 2014;5
Corey Anderson;def.;Justin Jones;Decision;December 6, 2014;4
Raquel Pennington;def.;Ashlee Evans-Smith;Technical Submission;December 6, 2014;3
Sergio Pettis;def.;Matt Hobar;Decision;December 6, 2014;2
Clay Collard;def.;Alex White;Decision;December 6, 2014;1
Frankie Edgar;def.;Cub Swanson;Submission;November 22, 2014;12
Edson Barboza;def.;Bobby Green;Decision;November 22, 2014;11
Chico Camus;def.;Brad Pickett;Decision;November 22, 2014;10
Aleksei Oleinik;def.;Jared Rosholt;KO;November 22, 2014;9
Joseph Benavidez;def.;Dustin Ortiz;Decision;November 22, 2014;8
Matt Wiman;def.;Isaac Vallie-Flagg;Decision;November 22, 2014;7
Ruslan Magomedov;def.;Josh Copeland;Decision;November 22, 2014;6
Roger Narvaez;def.;Luke Barnatt;Decision;November 22, 2014;5
James Vick;def.;Nick Hein;Decision;November 22, 2014;4
Akbarh Arreola;def.;Yves Edwards;Submission;November 22, 2014;3
Paige VanZant;def.;Kailin Curran;TKO;November 22, 2014;2
Doo Ho Choi;def.;Juan Puig;TKO;November 22, 2014;1
Fabrício Werdum;def.;Mark Hunt;TKO;November 15, 2014;11
Kelvin Gastelum;def.;Jake Ellenberger;Submission;November 15, 2014;10
Ricardo Lamas;def.;Dennis Bermudez;Submission;November 15, 2014;9
Augusto Montaño;def.;Chris Heatherly;TKO;November 15, 2014;8
Héctor Urbina;def.;Edgar García;Submission;November 15, 2014;7
Yair Rodríguez;def.;Leonardo Morales;Decision;November 15, 2014;6
Alejandro Pérez;def.;José Alberto Quiñónez;Decision;November 15, 2014;5
Jessica Eye;def.;Leslie Smith;TKO;November 15, 2014;4
Gabriel Benítez;def.;Humberto Brown;Technical Submission;November 15, 2014;3
Henry Briones;def.;Guido Cannetti;Submission;November 15, 2014;2
Marco Beltrán;def.;Marlon Vera;Decision;November 15, 2014;1
Ovince Saint Preux;def.;Yushin Okami;Technical Submission;September 23, 2017;10
Jéssica Andrade;def.;Cláudia Gadelha;Decision;September 23, 2017;9
Dong Hyun Ma;def.;Takanori Gomi;TKO;September 23, 2017;8
Gökhan Saki;def.;Henrique da Silva;KO;September 23, 2017;7
Teruto Ishihara;def.;Rolando Dy;Decision;September 23, 2017;6
Jussier Formiga;def.;Ulka Sasaki;Submission;September 23, 2017;5
Keita Nakamura;def.;Alex Morono;Decision;September 23, 2017;4
Syuri Kondo;def.;Chan-Mi Jeon;Decision;September 23, 2017;3
Shinsho Anzai;def.;Luke Jumeau;Decision;September 23, 2017;2
Daichi Abe;def.;Hyun Gyu Lim;Decision;September 23, 2017;1
Luke Rockhold;def.;Michael Bisping;Submission;November 8, 2014;11
Al Iaquinta;def.;Ross Pearson;TKO;November 8, 2014;10
Robert Whittaker;def.;Clint Hester;TKO;November 8, 2014;9
Soa Palelei;def.;Walt Harris;TKO;November 8, 2014;8
Jake Matthews;def.;Vagner Rocha;Technical Submission;November 8, 2014;7
Anthony Perosh;def.;Guto Inocente;Submission;November 8, 2014;6
Sam Alvey;def.;Dylan Andrews;KO;November 8, 2014;5
Louis Smolka;def.;Richie Vaculik;TKO;November 8, 2014;4
Chris Clements;def.;Vik Grujic;TKO;November 8, 2014;3
Dan Kelly;def.;Luke Zachrich;Submission;November 8, 2014;2
Marcus Brimage;def.;Jumabieke Tuerxun;KO;November 8, 2014;1
José Aldo;def.;Chad Mendes;Decision;October 25, 2014;11
Phil Davis;def.;Glover Teixeira;Decision;October 25, 2014;10
Fábio Maldonado;def.;Hans Stringer;TKO;October 25, 2014;9
Darren Elkins;def.;Lucas Martins;Decision;October 25, 2014;8
Beneil Dariush;def.;Carlos Diego Ferreira;Decision;October 25, 2014;7
Neil Magny;def.;William Macário;TKO;October 25, 2014;6
Yan Cabral;def.;Naoyuki Kotani;Submission;October 25, 2014;5
Wilson Reis;def.;Scott Jorgensen;Submission;October 25, 2014;4
Andre Fili;def.;Felipe Arantes;Decision;October 25, 2014;3
Gilbert Burns;def.;Christos Giagos;Submission;October 25, 2014;2
Tony Martin;def.;Fabrício Camões;Submission;October 25, 2014;1
Derrick Lewis;def.;Travis Browne;KO;February 19, 2017;11
Johny Hendricks;def.;Hector Lombard;Decision;February 19, 2017;10
Gavin Tucker;def.;Sam Sicilia;Decision;February 19, 2017;9
Elias Theodorou;def.;Cezar Ferreira;Decision;February 19, 2017;8
Sara McMann;def.;Gina Mazany;Submission;February 19, 2017;7
Paul Felder;def.;Alessandro Ricci;TKO;February 19, 2017;6
Santiago Ponzinibbio;def.;Nordine Taleb;Decision;February 19, 2017;5
Randa Markos;def.;Carla Esparza;Decision;February 19, 2017;4
Aiemann Zahabi;def.;Reginaldo Vieira;Decision;February 19, 2017;3
Thiago Santos;def.;Jack Marshman;TKO;February 19, 2017;2
Gerald Meerschaert;def.;Ryan Janes;Submission;February 19, 2017;1
Rick Story;def.;Gunnar Nelson;Decision;October 4, 2014;11
Max Holloway;def.;Akira Corassani;TKO;October 4, 2014;10
Jan Błachowicz;def.;Ilir Latifi;TKO;October 4, 2014;9
Mike Wilkinson;def.;Niklas Bäckström;KO;October 4, 2014;8
Magnus Cedenblad;def.;Scott Askham;Decision;October 4, 2014;7
Nico Musoke;def.;Alexander Yakovlev;Decision;October 4, 2014;6
Dennis Siver;def.;Charles Rosa;Decision;October 4, 2014;5
Cathal Pendred;def.;Gasan Umalatov;Decision;October 4, 2014;4
Krzysztof Jotko;def.;Tor Troéng;Decision;October 4, 2014;3
Mairbek Taisumov;def.;Marcin Bandel;TKO;October 4, 2014;2
Zubaira Tukhugov;def.;Ernest Chavez;TKO;October 4, 2014;1
Demetrious Johnson;def.;Chris Cariaso;Submission;September 27, 2014;11
Donald Cerrone;def.;Eddie Alvarez;Decision;September 27, 2014;10
Conor McGregor;def.;Dustin Poirier;TKO;September 27, 2014;9
Yoel Romero;def.;Tim Kennedy;TKO;September 27, 2014;8
Cat Zingano;def.;Amanda Nunes;TKO;September 27, 2014;7
Dominick Cruz;def.;Takeya Mizugaki;KO;September 27, 2014;6
Jorge Masvidal;def.;James Krause;Decision;September 27, 2014;5
Stephen Thompson;def.;Patrick Côté;Decision;September 27, 2014;4
Brian Ebersole;def.;John Howard;Decision;September 27, 2014;3
Kevin Lee;def.;Jon Tuck;Decision;September 27, 2014;2
Manvel Gamburyan;def.;Cody Gibson;Submission;September 27, 2014;1
Mark Hunt;def.;Roy Nelson;KO;September 20, 2014;12
Myles Jury;def.;Takanori Gomi;TKO;September 20, 2014;11
Yoshihiro Akiyama;def.;Amir Sadollah;Decision;September 20, 2014;10
Miesha Tate;def.;Rin Nakai;Decision;September 20, 2014;9
Kiichi Kunimoto;def.;Richard Walsh;Decision;September 20, 2014;8
Kyoji Horiguchi;def.;Jon delos Reyes;TKO;September 20, 2014;7
Masanori Kanehara;def.;Alex Caceres;Decision;September 20, 2014;6
Katsunori Kikuno;def.;Sam Sicilia;Submission;September 20, 2014;5
Hyun Gyu Lim;def.;Takenori Sato;TKO;September 20, 2014;4
Kyung Ho Kang;def.;Michinori Tanaka;Decision;September 20, 2014;3
Johnny Case;def.;Kazuki Tokudome;Technical Submission;September 20, 2014;2
Maximo Blanco;def.;Dan Hooker;Decision;September 20, 2014;1
Andrei Arlovski;def.;Antônio Silva;KO;September 13, 2014;11
Gleison Tibau;def.;Piotr Hallmann;Decision;September 13, 2014;10
Leonardo Santos;def.;Efrain Escudero;Decision;September 13, 2014;9
Santiago Ponzinibbio;def.;Wendell Oliveira;TKO;September 13, 2014;8
Iuri Alcântara;def.;Russell Doane;Decision;September 13, 2014;7
Jéssica Andrade;def.;Larissa Pacheco;Submission;September 13, 2014;6
Godofredo Pepey;def.;Dashon Johnson;Submission;September 13, 2014;5
George Sullivan;def.;Igor Araújo;KO;September 13, 2014;4
Francisco Trinaldo;def.;Leandro Silva;Decision;September 13, 2014;3
Sean Spencer;def.;Paulo Thiago;Decision;September 13, 2014;2
Rani Yahya;def.;Johnny Bedford;Submission;September 13, 2014;1
Ronaldo Souza;def.;Gegard Mousasi;Submission;September 5, 2014;9
Ben Rothwell;def.;Alistair Overeem;TKO;September 5, 2014;8
Matt Mitrione;def.;Derrick Lewis;KO;September 5, 2014;7
Joe Lauzon;def.;Michael Chiesa;TKO;September 5, 2014;6
John Moraga;def.;Justin Scoggins;Submission;September 5, 2014;5
Al Iaquinta;def.;Rodrigo Damm;TKO;September 5, 2014;4
Rafael Natal;def.;Chris Camozzi;Decision;September 5, 2014;3
Chris Beal;def.;Tateki Matsuda;Decision;September 5, 2014;2
Chas Skelly;def.;Sean Soriano;Decision;September 5, 2014;1
T.J. Dillashaw;def.;Joe Soto;KO;August 30, 2014;8
Tony Ferguson;def.;Danny Castillo;Decision;August 30, 2014;7
Bethe Correia;def.;Shayna Baszler;TKO;August 30, 2014;6
Carlos Diego Ferreira;def.;Ramsey Nijem;TKO;August 30, 2014;5
Yancy Medeiros;def.;Damon Jackson;Submission;August 30, 2014;4
Derek Brunson;def.;Lorenz Larkin;Decision;August 30, 2014;3
Anthony Hamilton;def.;Ruan Potts;TKO;August 30, 2014;2
Chris Wade;def.;Cain Carrizosa;Technical Submission;August 30, 2014;1
Rafael dos Anjos;def.;Benson Henderson;KO;August 23, 2014;11
Jordan Mein;def.;Mike Pyle;TKO;August 23, 2014;10
Thales Leites;def.;Francis Carmont;KO;August 23, 2014;9
Max Holloway;def.;Clay Collard;TKO;August 23, 2014;8
James Vick;def.;Valmir Lazaro;Decision;August 23, 2014;7
Chas Skelly;def.;Tom Niinimäki;Submission;August 23, 2014;6
Neil Magny;def.;Alex Garcia;Decision;August 23, 2014;5
Beneil Dariush;def.;Tony Martin;Submission;August 23, 2014;4
Matt Hobar;def.;Aaron Phillips;Decision;August 23, 2014;3
Ben Saunders;def.;Chris Heatherly;Submission;August 23, 2014;2
Wilson Reis;def.;Joby Sanchez;Decision;August 23, 2014;1
Michael Bisping;def.;Cung Le;TKO;August 23, 2014;10
Tyron Woodley;def.;Dong Hyun Kim;TKO;August 23, 2014;9
Zhang Lipeng;def.;Brendan O'Reilly;Decision;August 23, 2014;8
Ning Guangyou;def.;Jianping Yang;Decision;August 23, 2014;7
Wang Sai;def.;Danny Mitchell;Decision;August 23, 2014;6
Alberto Mina;def.;Shinsho Anzai;TKO;August 23, 2014;5
Yuta Sasaki;def.;Roland Delorme;Submission;August 23, 2014;4
Colby Covington;def.;Anying Wang;Submission;August 23, 2014;3
Royston Wee;def.;Yao Zhikui;Decision;August 23, 2014;2
Milana Dudieva;def.;Elizabeth Phillips;Decision;August 23, 2014;1
Ryan Bader;def.;Ovince Saint Preux;Decision;August 16, 2014;10
Ross Pearson;def.;Gray Maynard;TKO;August 16, 2014;9
Tim Boetsch;def.;Brad Tavares;TKO;August 16, 2014;8
Alan Jouban;def.;Seth Baczynski;KO;August 16, 2014;7
Shawn Jordan;def.;Jack May;TKO;August 16, 2014;6
Thiago Tavares;def.;Robbie Peralta;Submission;August 16, 2014;5
Jussier Formiga;def.;Zach Makovsky;Decision;August 16, 2014;4
Sara McMann;def.;Lauren Murphy;Decision;August 16, 2014;3
Tom Watson;def.;Sam Alvey;Decision;August 16, 2014;2
Frankie Saenz;def.;Nolan Ticman;Decision;August 16, 2014;1
Robbie Lawler;def.;Matt Brown;Decision;July 26, 2014;12
Anthony Johnson;def.;Antônio Rogério Nogueira;KO;July 26, 2014;11
Dennis Bermudez;def.;Clay Guida;Submission;July 26, 2014;10
Bobby Green;def.;Josh Thomson;Decision;July 26, 2014;9
Jorge Masvidal;def.;Daron Cruickshank;Decision;July 26, 2014;8
Patrick Cummins;def.;Kyle Kingsbury;Decision;July 26, 2014;7
Tim Means;def.;Hernani Perpétuo;Decision;July 26, 2014;6
Brian Ortega;vs.;Mike De La Torre;No Contest;July 26, 2014;5
Tiago Trator;def.;Akbarh Arreola;Decision;July 26, 2014;4
Gilbert Burns;def.;Andreas Ståhl;Decision;July 26, 2014;3
Joanna Jędrzejczyk;def.;Juliana Lima;Decision;July 26, 2014;2
Noad Lahat;def.;Steven Siler;Decision;July 26, 2014;1
Conor McGregor;def.;Diego Brandão;TKO;July 19, 2014;10
Gunnar Nelson;def.;Zak Cummings;Submission;July 19, 2014;9
Ian McCall;def.;Brad Pickett;Decision;July 19, 2014;8
Norman Parke;def.;Naoyuki Kotani;TKO;July 19, 2014;7
Ilir Latifi;def.;Chris Dempsey;TKO;July 19, 2014;6
Neil Seery;def.;Phil Harris;Decision;July 19, 2014;5
Cathal Pendred;def.;Mike King;Technical Submission;July 19, 2014;4
Trevor Smith;def.;Tor Troéng;Decision;July 19, 2014;3
Nikita Krylov;def.;Cody Donovan;TKO;July 19, 2014;2
Paddy Holohan;def.;Josh Sampo;Submission;July 19, 2014;1
Donald Cerrone;def.;Jim Miller;KO;July 16, 2014;11
Edson Barboza;def.;Evan Dunham;TKO;July 16, 2014;10
Rick Story;def.;Leonardo Mafra;Submission;July 16, 2014;9
Joe Proctor;def.;Justin Salas;TKO;July 16, 2014;8
John Lineker;def.;Alptekin Özkılıç;TKO;July 16, 2014;7
Lucas Martins;def.;Alex White;KO;July 16, 2014;6
Gleison Tibau;def.;Pat Healy;Decision;July 16, 2014;5
Leslie Smith;def.;Jessamyn Duke;TKO;July 16, 2014;4
Aljamain Sterling;def.;Hugo Viana;TKO;July 16, 2014;3
Yosdenis Cedeno;def.;Jerrod Sanders;TKO;July 16, 2014;2
Cláudia Gadelha;def.;Tina Lähdemäki;Decision;July 16, 2014;1
Roy Nelson;def.;Brendan Schaub;KO;December 5, 2009;10
Matt Hamill;def.;Jon Jones;DQ;December 5, 2009;9
Kimbo Slice;def.;Houston Alexander;Decision;December 5, 2009;8
Frankie Edgar;def.;Matt Veach;Submission;December 5, 2009;7
Matt Mitrione;def.;Marcus Jones;KO;December 5, 2009;6
James McSweeney;def.;Darrill Schoonover;TKO;December 5, 2009;5
Jon Madsen;def.;Justin Wren;Decision;December 5, 2009;4
Brian Stann;def.;Rodney Wallace;Decision;December 5, 2009;3
John Howard;def.;Dennis Hallman;KO;December 5, 2009;2
Mark Bocek;def.;Joe Brammer;Submission;December 5, 2009;1
Chris Weidman;def.;Lyoto Machida;Decision;July 5, 2014;10
Ronda Rousey;def.;Alexis Davis;KO;July 5, 2014;9
Uriah Hall;def.;Thiago Santos;Decision;July 5, 2014;8
Russell Doane;def.;Marcus Brimage;Decision;July 5, 2014;7
Urijah Faber;def.;Alex Caceres;Submission;July 5, 2014;6
Kenny Robertson;def.;Ildemar Alcântara;Decision;July 5, 2014;5
Bruno Santos;def.;Chris Camozzi;Decision;July 5, 2014;4
Rob Font;def.;George Roop;KO;July 5, 2014;3
Luke Zachrich;def.;Guilherme Vasconcelos;Decision;July 5, 2014;2
Kevin Casey;vs.;Bubba Bush;No Contest;July 5, 2014;1
Cub Swanson;def.;Jeremy Stephens;Decision;June 28, 2014;11
Kelvin Gastelum;def.;Nico Musoke;Decision;June 28, 2014;10
Cezar Ferreira;def.;Andrew Craig;Decision;June 28, 2014;9
Ricardo Lamas;def.;Hacran Dias;Decision;June 28, 2014;8
Clint Hester;def.;Antônio Braga Neto;Decision;June 28, 2014;7
Joe Ellenberger;def.;James Moontasri;Decision;June 28, 2014;6
Carlos Diego Ferreira;def.;Colton Smith;Submission;June 28, 2014;5
Cody Gibson;def.;Johnny Bedford;TKO;June 28, 2014;4
Marcelo Guimarães;def.;Andy Enz;Decision;June 28, 2014;3
Ray Borg;def.;Shane Howell;Submission;June 28, 2014;2
Aleksei Oleinik;def.;Anthony Hamilton;Submission;June 28, 2014;1
Nate Marquardt;def.;James Te Huna;Submission;June 28, 2014;10
Jared Rosholt;def.;Soa Palelei;Decision;June 28, 2014;9
Charles Oliveira;def.;Hatsu Hioki;Submission;June 28, 2014;8
Robert Whittaker;def.;Mike Rhodes;Decision;June 28, 2014;7
Jake Matthews;def.;Dashon Johnson;Submission;June 28, 2014;6
Richie Vaculik;def.;Roldan Sangcha-an;Decision;June 28, 2014;5
Vik Grujic;def.;Chris Indich;TKO;June 28, 2014;4
Neil Magny;def.;Rodrigo de Lima;TKO;June 28, 2014;3
Dan Hooker;def.;Ian Entwistle;TKO;June 28, 2014;2
Gian Villante;def.;Sean O'Connell;Decision;June 28, 2014;1
Demetrious Johnson;def.;Ali Bagautinov;Decision;June 14, 2014;11
Rory MacDonald;def.;Tyron Woodley;Decision;June 14, 2014;10
Ryan Bader;def.;Rafael Cavalcante;Decision;June 14, 2014;9
Andrei Arlovski;def.;Brendan Schaub;Decision;June 14, 2014;8
Ovince Saint Preux;def.;Ryan Jimmo;Verbal Submission;June 14, 2014;7
Kiichi Kunimoto;def.;Daniel Sarafian;Submission;June 14, 2014;6
Valérie Létourneau;def.;Elizabeth Phillips;Decision;June 14, 2014;5
Yves Jabouin;def.;Mike Easton;Decision;June 14, 2014;4
Tae Hyun Bang;def.;Kajan Johnson;KO;June 14, 2014;3
Michinori Tanaka;def.;Roland Delorme;Decision;June 14, 2014;2
Jason Saggo;def.;Josh Shockley;TKO;June 14, 2014;1
Benson Henderson;def.;Rustam Khabilov;Submission;June 7, 2014;11
Diego Sanchez;def.;Ross Pearson;Decision;June 7, 2014;10
John Dodson;def.;John Moraga;TKO;June 7, 2014;9
Rafael dos Anjos;def.;Jason High;TKO;June 7, 2014;8
Piotr Hallmann;def.;Yves Edwards;Submission;June 7, 2014;7
Bryan Caraway;def.;Érik Pérez;Submission;June 7, 2014;6
Sergio Pettis;def.;Yaotzin Meza;Decision;June 7, 2014;5
Lance Benoist;def.;Bobby Voelker;Decision;June 7, 2014;4
Scott Jorgensen;def.;Danny Martinez;Decision;June 7, 2014;3
Jon Tuck;def.;Jake Lindsey;Submission;June 7, 2014;2
Patrick Cummins;def.;Roger Narvaez;TKO;June 7, 2014;1
Gegard Mousasi;def.;Mark Muñoz;Submission;May 31, 2014;10
C.B. Dollaway;def.;Francis Carmont;Decision;May 31, 2014;9
Sean Strickland;def.;Luke Barnatt;Decision;May 31, 2014;8
Niklas Bäckström;def.;Tom Niinimäki;Submission;May 31, 2014;7
Nick Hein;def.;Drew Dober;Decision;May 31, 2014;6
Magnus Cedenblad;def.;Krzysztof Jotko;Submission;May 31, 2014;5
Iuri Alcântara;def.;Vaughan Lee;TKO;May 31, 2014;4
Peter Sobotta;def.;Pawel Pawlak;Decision;May 31, 2014;3
Maximo Blanco;def.;Andy Ogle;Decision;May 31, 2014;2
Ruslan Magomedov;def.;Viktor Pešta;Decision;May 31, 2014;1
T.J. Dillashaw;def.;Renan Barão;TKO;May 24, 2014;12
Daniel Cormier;def.;Dan Henderson;Technical Submission;May 24, 2014;11
Robbie Lawler;def.;Jake Ellenberger;TKO;May 24, 2014;10
Takeya Mizugaki;def.;Francisco Rivera;Decision;May 24, 2014;9
James Krause;def.;Jamie Varner;TKO;May 24, 2014;8
Michael Chiesa;def.;Francisco Trinaldo;Decision;May 24, 2014;7
Tony Ferguson;def.;Katsunori Kikuno;TKO;May 24, 2014;6
Chris Holdsworth;def.;Chico Camus;Decision;May 24, 2014;5
Mitch Clarke;def.;Al Iaquinta;Technical Submission;May 24, 2014;4
Vinc Pichel;def.;Anthony Njokuani;Decision;May 24, 2014;3
Sam Sicilia;def.;Aaron Phillips;Decision;May 24, 2014;2
Li Jingliang;def.;David Michaud;Decision;May 24, 2014;1
Matt Brown;def.;Erick Silva;TKO;May 10, 2014;13
Costas Philippou;def.;Lorenz Larkin;KO;May 10, 2014;12
Daron Cruickshank;def.;Erik Koch;TKO;May 10, 2014;11
Neil Magny;def.;Tim Means;Decision;May 10, 2014;10
Soa Palelei;def.;Ruan Potts;KO;May 10, 2014;9
Chris Cariaso;def.;Louis Smolka;Decision;May 10, 2014;8
Ed Herman;def.;Rafael Natal;Decision;May 10, 2014;7
Kyoji Horiguchi;def.;Darrell Montague;Decision;May 10, 2014;6
Zak Cummings;def.;Yan Cabral;Decision;May 10, 2014;5
Johnny Eduardo;def.;Eddie Wineland;TKO;May 10, 2014;4
